region,district,district_malayalam,distrct_Wikidata,constituency_Number,constituency_Name,constituency_Name_ (Malayalam),constituency_Wikidata,reservation
North Keralam,Kasaragod,കാസർഗോഡ് ജില്ല,Q1419703,1,Manjeshwaram,മഞ്ചേശ്വരം,Q13113782,
North Keralam,Kasaragod,കാസർഗോഡ് ജില്ല,Q1419703,2,Kasaragod,കാസർഗോഡ്,Q13111222,
North Keralam,Kasaragod,കാസർഗോഡ് ജില്ല,Q1419703,3,Udma,ഉദുമ,Q13110513,
North Keralam,Kasaragod,കാസർഗോഡ് ജില്ല,Q1419703,4,Kanhangad,കാഞ്ഞങ്ങാട്,Q13111113,
North Keralam,Kasaragod,കാസർഗോഡ് ജില്ല,Q1419703,5,Thrikaripur,തൃക്കരിപ്പൂർ,Q16137696,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,6,Payyanur,പയ്യന്നൂർ,Q17379122,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,7,Kalliasseri,കല്ല്യാശ്ശേരി,Q13111077,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,8,Taliparamba,തളിപ്പറമ്പ്,Q17379268,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,9,Irikkur,ഇരിക്കൂർ,Q13110432,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,10,Azhikode,അഴീക്കോട്,Q13110133,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,11,Kannur,കണ്ണൂർ,Q16137348,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,12,Dharmadom,ധർമ്മടം,Q13112766,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,13,Thalassery,തലശ്ശേരി,Q7709532,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,14,Kuthuparamba,കൂത്തുപറമ്പ്,Q17379603,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,15,Mattanur,മട്ടന്നൂർ,Q16134425,
North Keralam,Kannur,കണ്ണൂർ ജില്ല,Q2980652,16,Peravoor,പേരാവൂർ,Q17385405,
North Keralam,Wayanad,വയനാട് ജില്ല,Q1364427,17,Mananthavady,മാനന്തവാടി,Q16136061,ST
North Keralam,Wayanad,വയനാട് ജില്ല,Q1364427,18,Sulthan Bathery,സുൽത്താൻ ബത്തേരി,Q13115144,ST
North Keralam,Wayanad,വയനാട് ജില്ല,Q1364427,19,Kalpetta,കല്പറ്റ,Q13111054,
North Keralam,Kozhikode,കോഴിക്കോട് ജില്ല,Q1142979,20,Vatakara,വടകര,Q13114485,
North Keralam,Kozhikode,കോഴിക്കോട് ജില്ല,Q1142979,21,Kuttiady,കുറ്റ്യാടി,Q16136660,
North Keralam,Kozhikode,കോഴിക്കോട് ജില്ല,Q1142979,22,Nadapuram,നാദാപുരം,Q13112855,
North Keralam,Kozhikode,കോഴിക്കോട് ജില്ല,Q1142979,23,Koyilandy,കൊയിലാണ്ടി,Q13111637,
North Keralam,Kozhikode,കോഴിക്കോട് ജില്ല,Q1142979,24,Perambra,പേരാമ്പ്ര,Q13113475,
