state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S111,115,Adoor,അടൂർ,Pathanamthitta,South Keralam,Q7601892,ADVOCATE C V SANTHAKUMAR,Indian National Congress,PRIJI KANNAN,Communist Party of India,2013,6/17,Result in Progress,2026-05-04 11:37:53
S111,104,Alappuzha,ആലപ്പുഴ,Alappuzha,South Keralam,Q13110290,A.D THOMAS,Indian National Congress,P.P.CHITHARANJAN,Communist Party of India (Marxist),5988,6/16,Result in Progress,2026-05-04 11:37:53
S111,60,Alathur,ആലത്തൂർ,Palakkad,Centeral Keralam,Q16136878,T M SASI,Communist,K M FEBIN,Indian National Congress,4590,9/13,Result in Progress,2026-05-04 11:37:53
S111,76,Aluva,ആലുവ,Ernakulam,Centeral Keralam,Q13110297,ANWAR SADATH,Indian National Congress,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),5954,4/18,Result in Progress,2026-05-04 11:37:53
S111,105,Ambalappuzha,അമ്പലപ്പുഴ,Alappuzha,South Keralam,Q13110066,G.SUDHAKARAN,Independent,H. SALAM,Communist Party of India (Marxist),4109,3/14,Result in Progress,2026-05-04 11:37:53
S111,75,Angamaly,അങ്കമാലി,Ernakulam,Centeral Keralam,Q7601651,ROJI M JOHN,Indian National Congress,SAJU PAUL,Communist Party of India (Marxist),7662,3/16,Result in Progress,2026-05-04 11:37:53
S111,113,Aranmula,ആറന്മുള,Pathanamthitta,South Keralam,Q16136677,ABIN VARKEY KODIYATTU,Indian National Congress,VEENA GEORGE,Communist Party of India (Marxist),6980,7/20,Result in Progress,2026-05-04 11:37:53
S111,102,Aroor,അരൂർ,Alappuzha,South Keralam,Q13110113,ADV. SHANIMOL OSMAN,Indian National Congress,DALEEMA,Communist Party of India (Marxist),5461,4/15,Result in Progress,2026-05-04 11:37:53
S111,136,Aruvikkara,അരുവിക്കര,Thiruvananthapuram,South Keralam,Q7602920,ADV. G. STEEPHEN,Communist,V. S. SIVAKUMAR,Indian National Congress,1035,8/20,Result in Progress,2026-05-04 11:37:53
S111,128,Attingal,ആറ്റിങ്ങൽ,Thiruvananthapuram,South Keralam,Q16136708,O.S AMBIKA,Communist,ADV. P SUDHEER,Bharatiya Janata Party,5466,6/16,Result in Progress,2026-05-04 11:37:53
S111,10,Azhikode,അഴീക്കോട്,Kannur,North Keralam,Q13110133,K. V. SUMESH,Communist,ADV. KAREEM CHELERI,Indian Union Muslim League,5471,5/14,Result in Progress,2026-05-04 11:37:53
S111,25,Balussery,ബാലുശ്ശേരി,Kozhikode,North Keralam,Q16137581,V.T. SOORAJ,Indian National Congress,ADV. K.M. SACHINDEV,Communist Party of India (Marxist),7523,8/19,Result in Progress,2026-05-04 11:37:53
S111,29,Beypore,ബേപ്പൂർ,Kozhikode,North Keralam,Q13113680,P.A MOHAMED RIYAS,Communist,P V ANVAR S/O SHOUKATHALI,Independent,5661,5/16,Result in Progress,2026-05-04 11:37:53
S111,122,Chadayamangalam,ചടയമംഗലം,Kollam,South Keralam,Q16137010,M. M. NASEER,Indian National Congress,J. CHINCHURANI,Communist Party of India,2802,5/15,Result in Progress,2026-05-04 11:37:53
